"ID","Nickname","AvatarName","Category","Comment","Author","AvatarURL"
"0636","もふもふライオンAkyo","mofumofulionAkyo","動物/ライオン,動物",,"葱 potipoti93","https://vrchat.com/home/avatar/avtr_aa979ea4-2fb0-49a2-a569-941bd3c643f1"
"0637","マホロアもどきAkyo","magolormodokiAkyo","パロディ/カービィ,パロディ",,"葱 potipoti93","https://vrchat.com/home/avatar/avtr_54ee1d70-598a-445a-a798-e4daf7f39ca9"
"0638","マルクもどきAkyo","marxmodokiAkyo","パロディ/カービィ,パロディ",,"葱 potipoti93","https://vrchat.com/home/avatar/avtr_9a700090-2864-4ca8-90f2-bdb36cb81b99"
"0639","自由のAkyo","FreedomAkyo","像・埴輪,芸術・アート",,"すいしょー","https://vrchat.com/home/avatar/avtr_7ec41427-1e99-4d5c-87c1-20d7e1d68b88"
"0640","まめがっぱあきょ","まめがっぱあきょ","架空の存在,まめ,まめAkyo","きゅうりください","kuro5963","https://vrchat.com/home/avatar/avtr_b0bb887f-de8e-4d7b-a8ab-7284544351e6"
"0641","まめAkyo","Bean Akyo","まめ,まめAkyo",,"bosa_bosa","https://vrchat.com/home/avatar/avtr_c65daaf6-30ec-456f-90cf-68f60ecbeec5"
"0642","エプリAkyo","epliもどき","パロディ,パロディ/VRChat",,"Rio_'","https://vrchat.com/home/avatar/avtr_91bab6d5-ca89-491e-a862-f926000102e4"
"0643","かっぱまきAkyo","akyo かっぱまき","食べ物,食べ物/料理,食べ物/お寿司,食べ物/野菜,食べ物/野菜/きゅうり","新鮮なキュウリを使用しているらしい。","ささのき","https://vrchat.com/home/avatar/avtr_7f39082b-0a33-414c-8a19-41c116b86f7f"
"0644","キウイAkyo2","akyo_キウイ2","食べ物,食べ物/フルーツ",,"ささのき","https://vrchat.com/home/avatar/avtr_a2a53869-addc-4c21-acfb-acfdb0a0b7ce"
"0645","ワンピースきつねAkyo2025","akyo_きつね25ワンピ","動物/きつね,季節・行事,衣類・衣装,動物",,"ささのき","https://vrchat.com/home/avatar/avtr_f6764dcf-02b9-4c2d-9b23-bb565157b59a"
"0646","スポッティングルックAkyo","SpottingLookAkyo","チョコミント類,ギミック・特殊",,"NEET ENGINEER","https://vrchat.com/home/avatar/avtr_666a82fa-68cf-4317-a1d2-a3aee3cbf6c5"
